Home,Away,home_gl,home_gl_prob,away_gl,away_gl_prob,home_ml,away_ml,tie_ml,total,over,under
Everton,Burnley,-1,0.512195122,1,0.555555556,0.645390071,0.181818182,0.256410256,2.5,0.555555556,0.512195122
AFC Bournemouth,Tottenham Hotspur,0.5,0.523809524,-0.5,0.545454545,0.273972603,0.541284404,0.27027027,3,0.512195122,0.555555556
West Ham United,Southampton,-0.25,0.512195122,0.25,0.555555556,0.444444444,0.344827586,0.285714286,3,0.512195122,0.555555556
Wolverhampton,Fulham,-1,0.545454545,1,0.523809524,0.666666667,0.166666667,0.243902439,2.5,0.574468085,0.487804878
Cardiff City,Crystal Palace,0,0.555555556,0,0.512195122,0.4,0.377358491,0.298507463,2.5,0.523809524,0.545454545
Newcastle,Liverpool,1.25,0.487804878,-1.25,0.574468085,0.125,0.740932642,0.215053763,2.75,0.545454545,0.523809524
Chelsea,Watford,-1.25,0.545454545,1.25,0.523809524,0.714285714,0.148148148,0.215053763,3,0.523809524,0.545454545
Huddersfield Town,Manchester United,1.5,0.534883721,-1.5,0.534883721,0.111111111,0.769053118,0.2,2.75,0.555555556,0.512195122
Arsenal,Brighton and Hove Albion,-1.25,0.545454545,1.25,0.523809524,0.740932642,0.133333333,0.217391304,2.75,0.555555556,0.512195122
Manchester City,Leicester City,-2.25,0.534883721,2.25,0.534883721,,,,3.5,0.574468085,0.487804878
